serie;factura;fecha;cuenta_cli;fpago;tipo_operacion;cuenta_ret;imp_ret;tipo_ret;cuenta_ventas;centro_coste;imp_venta;por_iva;imp_iva;por_rec;imp_rec;total_factura;integracion
M;2017000024;10/03/17;430006968;2;0;;;;700000001;;22.5;21;4.73;;;27.23;0
M;2017000025;10/03/17;430006968;2;0;;;;700000001;;70;21;14.7;;;84.7;0
M;2017000026;01/04/17;430000283;1;0;;;;700000001;;103.2;21;21.67;;;124.87;0
M;2017000027;01/04/17;430000283;1;0;;;;700000001;;25;21;5.25;;;30.25;0
M;2017000028;01/04/17;430000283;1;0;;;;700000001;;45;21;9.45;;;54.45;0
M;2017000029;01/04/17;430006969;2;0;;;;700000001;;192;21;40.32;;;232.32;0
M;2017000030;01/04/17;430000283;1;0;;;;700000001;;84;21;17.64;;;101.64;0
M;2017000031;01/04/17;430000283;1;0;;;;700000001;;87;21;18.27;;;105.27;0
M;2017000032;01/04/17;430006975;2;0;;;;700000001;;80;21;16.8;;;96.8;0
M;2017000033;01/04/17;430007026;2;0;;;;700000001;;97;21;20.37;;;117.37;0
